TAM AMOSTRA,TEMPO,SPECS_ID
100,123,1
1000,1144,1
10000,11196,1
100,237,1
1000,1319,1
10000,13188,1
100,115,1
1000,1279,1
10000,10913,1
100,143,1
1000,1322,1
10000,14141,1
100,129,1
1000,1141,1
10000,10750,1
100,300,1
1000,1410,1
10000,10869,1
100,126,1
1000,1232,1
10000,15505,1
100,88,1
1000,910,1
10000,13608,1
100,264,1
1000,1633,1
10000,19723,1
100,98,1
1000,1053,1
10000,11271,1
100,268,1
1000,1200,1
10000,10723,1
100,224,1
1000,1503,1
10000,10525,1
100,114,1
1000,1110,1
10000,10913,1
100,116,1
1000,1126,1
10000,11660,1
100,120,1
1000,1023,1
10000,11041,1
100,92,1
1000,1064,1
10000,13470,1
100,117,1
1000,1085,1
10000,15101,1
